GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
4101,54612129.54,2890.02,1854.48,5145546.69,139.3,-119.69,-1033.95,-11652.78,501.95,8624.38,-3372.9,115.26,59758879.93,-3257.64,59755622.29
4126,54769931.57,3021.84,1815.28,5168826.88,92.39,-101.25,-1048.07,-11775.65,520.99,8579.55,-3245.03,113.41,59939863.53,-3131.62,59936731.9
4151,54907036.33,2784.48,1833.16,5167010.86,97.81,-117.14,-1049.03,-11645.2,507.09,8601.58,-3333.0,113.27,60075059.94,-3219.74,60071840.21
4176,55024968.84,2669.65,1845.61,5209173.99,126.83,-90.02,-1007.55,-11802.33,493.33,8626.03,-3253.23,114.82,60235004.37,-3138.41,60231865.96
4201,54676797.42,2834.29,1841.54,5152742.96,123.78,-111.04,-1024.3,-11944.24,495.76,8634.88,-3110.87,115.24,59830391.05,-2995.64,59827395.42
4226,54931557.46,2814.27,1882.04,5188904.8,104.63,-122.5,-1012.17,-11853.6,512.52,8572.72,-3142.86,115.89,60121360.15,-3026.97,60118333.18
4251,54721016.84,3005.52,1843.63,5181599.47,105.17,-117.07,-1020.85,-11972.85,523.49,8656.39,-3072.48,112.36,59903639.75,-2960.13,59900679.62
4276,54885574.39,2711.07,1871.7,5192684.31,117.09,-118.2,-1038.46,-11930.78,505.29,8706.58,-3172.66,113.81,60079082.99,-3058.86,60076024.14
4301,54877150.24,2595.96,1849.05,5215139.36,129.8,-127.46,-1020.99,-11957.0,522.24,8669.29,-3116.88,116.18,60092950.49,-3000.7,60089949.79
4326,54724404.61,2695.07,1886.74,5174935.94,108.96,-116.92,-1017.18,-11738.82,522.07,8622.56,-3248.81,113.94,59900303.03,-3134.87,59897168.16
4351,54821487.47,2714.14,1832.7,5166253.25,118.72,-99.18,-1026.19,-11760.32,514.4,8587.92,-3218.7,115.1,59988622.92,-3103.6,59985519.33
4376,54596817.95,2847.27,1870.91,5147187.13,135.05,-93.63,-1054.25,-11773.56,510.1,8644.47,-3244.85,113.14,59745091.44,-3131.71,59741959.73
4401,54574202.58,3021.07,1877.43,5161446.56,535.67,-98.96,-1049.15,-11788.6,492.54,8685.67,-3245.77,115.46,59737324.79,-3130.32,59734194.48
4426,54643734.38,2817.29,1880.83,5176497.15,595.24,-100.83,-1034.63,-11766.43,513.27,8640.92,-3245.89,117.11,59821777.18,-3128.79,59818648.4
4451,54603608.85,2961.34,1863.65,5175799.48,1008.46,-109.06,-1030.93,-11951.49,504.41,8625.05,-3073.21,113.17,59781279.75,-2960.05,59778319.71
4476,54636513.66,2891.35,1865.91,5187683.3,567.1,-119.59,-1043.87,-11932.57,508.38,8610.46,-3065.38,114.64,59825544.13,-2950.74,59822593.39
4501,54624876.81,3081.22,1866.4,5167039.3,563.91,-101.92,-1031.97,-11846.43,509.72,8531.65,-3078.79,116.03,59793488.71,-2962.76,59790525.95
4526,54469018.41,3100.13,1836.14,5166250.24,733.46,-97.72,-1029.04,-11944.83,516.41,8584.4,-3062.55,116.48,59636967.58,-2946.07,59634021.51
4551,54399013.37,3170.6,1836.28,5146808.48,1121.47,-112.96,-1028.98,-12000.82,502.6,8612.24,-3044.44,114.06,59547922.28,-2930.38,59544991.89
4576,54496898.06,3010.98,1847.2,5175253.13,978.58,-101.66,-1015.63,-11837.44,495.76,8636.19,-3184.37,117.42,59674165.17,-3066.96,59671098.21
4601,54683724.62,2692.64,1866.62,5238665.32,945.9,-88.05,-990.78,-11878.08,535.81,8562.47,-3109.33,116.49,59924036.45,-2992.85,59921043.61
4626,54593610.28,2794.57,1849.15,5197899.2,1153.43,-112.76,-1014.49,-11840.91,521.57,8717.13,-3242.63,118.59,59793577.19,-3124.04,59790453.15
4651,54511556.16,3199.86,1819.33,5236842.14,955.68,-106.56,-1033.48,-11666.33,515.88,8592.25,-3314.26,115.83,59750674.92,-3198.43,59747476.49
4676,54435304.16,3164.88,1805.94,5184313.95,1234.47,-91.06,-1021.23,-11678.22,536.05,8617.28,-3293.91,116.94,59622186.22,-3176.98,59619009.25
4701,54517871.01,2880.32,1803.09,5217906.09,1190.06,-123.41,-1047.74,-11817.75,519.94,8599.83,-3188.3,114.9,59737781.43,-3073.4,59734708.03
