GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
3876,-0.0,0.0,-0.0,0.0,0.0,0.0,-39.95,-34.6,0.0,0.0,55.26,-3.85,0.0,-74.55,51.4,-23.14
3901,-0.0,-0.0,-0.0,0.0,0.0,0.0,-40.55,-21.56,-0.0,0.0,49.7,-4.04,0.0,-62.11,45.66,-16.45
3926,-0.0,-0.0,0.0,0.0,0.0,0.0,-40.09,-37.85,0.0,0.0,55.28,-3.69,0.0,-77.94,51.6,-26.34
3951,-0.0,0.0,0.0,0.0,0.0,0.0,-39.82,-30.92,-0.0,-0.0,55.47,-3.48,0.0,-70.74,51.99,-18.75
3976,-0.0,0.0,0.0,0.0,0.0,0.0,-38.91,-31.7,0.0,0.0,55.95,-3.58,0.0,-70.62,52.36,-18.26
4001,-0.0,-0.0,0.0,0.0,0.0,0.0,-38.49,-39.94,-0.0,0.0,55.25,-3.66,0.0,-78.44,51.59,-26.84
4026,0.0,-0.0,0.0,0.0,0.0,0.0,-38.77,-42.4,-0.0,-0.0,57.66,-3.83,0.0,-81.16,53.83,-27.34
4051,0.0,0.0,-0.0,0.0,0.0,0.0,-43.75,-25.52,0.0,-0.0,49.76,-3.71,0.0,-69.27,46.04,-23.23
4076,0.0,-0.0,-0.0,0.0,0.0,0.0,-41.28,-25.48,-0.0,-0.0,50.32,-3.88,0.0,-66.76,46.44,-20.32
4101,0.0,0.0,-0.0,0.0,0.0,0.0,-40.25,-39.74,-0.0,-0.0,63.16,-3.91,0.0,-79.98,59.26,-20.73
4126,0.0,-0.0,-0.0,0.0,0.0,0.0,-37.64,-32.91,0.0,0.0,55.81,-3.87,0.0,-70.55,51.93,-18.62
4151,-0.0,0.0,0.0,0.0,0.0,0.0,-38.62,-29.76,0.0,0.0,52.34,-3.77,0.0,-68.38,48.57,-19.81
4176,0.0,0.0,0.0,0.0,0.0,0.0,-38.43,-32.74,-0.0,0.0,56.58,-3.98,0.0,-71.17,52.61,-18.56
4201,0.0,0.0,0.0,0.0,0.0,0.0,-45.07,-16.7,0.0,-0.0,44.79,-4.22,0.0,-61.77,40.58,-21.19
4226,0.0,0.0,-0.0,0.0,0.0,0.0,-43.7,-16.16,0.0,-0.0,45.13,-4.28,0.0,-59.86,40.85,-19.01
4251,-0.0,0.0,0.0,0.0,0.0,0.0,-42.39,-18.92,0.0,-0.0,45.76,-4.23,0.0,-61.31,41.53,-19.78
4276,0.0,-0.0,0.0,0.0,0.0,0.0,-38.9,-16.53,0.0,-0.0,42.86,-4.2,0.0,-55.43,38.67,-16.76
4301,-0.0,-0.0,0.0,0.0,0.0,0.0,-42.43,-16.08,0.0,-0.0,43.42,-4.1,0.0,-58.52,39.32,-19.19
4326,-0.0,-0.0,0.0,0.0,0.0,0.0,-40.48,-15.72,0.0,-0.0,44.51,-3.91,0.0,-56.2,40.6,-15.6
4351,-0.0,0.0,-0.0,0.0,0.0,0.0,-41.44,-23.88,-0.0,0.0,50.03,-4.14,0.0,-65.32,45.89,-19.43
4376,0.0,-0.0,0.0,0.0,0.0,0.0,-38.71,-13.64,0.0,0.0,41.81,-4.03,0.0,-52.35,37.78,-14.56
4401,0.0,-0.0,-0.0,0.0,0.0,0.0,-34.34,-37.42,0.0,-0.0,64.82,-3.75,0.0,-71.76,61.07,-10.69
4426,-0.0,-0.0,0.0,0.0,0.0,0.0,-37.36,-24.53,0.0,0.0,55.95,-4.08,0.0,-61.89,51.87,-10.02
4451,0.0,-0.0,0.0,0.0,0.0,0.0,-38.44,-34.19,-0.0,-0.0,52.81,-4.11,0.0,-72.63,48.69,-23.94
4476,0.0,0.0,0.0,0.0,0.0,0.0,-33.64,-16.9,-0.0,0.0,45.68,-3.88,0.0,-50.54,41.81,-8.73
4501,-0.0,0.0,-0.0,0.0,0.0,0.0,-34.39,-38.66,0.0,0.0,56.15,-4.26,0.0,-73.05,51.89,-21.16
4526,0.0,0.0,-0.0,0.0,0.0,0.0,-33.31,-30.18,-0.0,0.0,48.15,-4.3,0.0,-63.49,43.85,-19.64
4551,-0.0,0.0,0.0,0.0,0.0,0.0,-35.02,-29.99,0.0,-0.0,53.16,-4.02,0.0,-65.01,49.14,-15.87
4576,-0.0,-0.0,0.0,0.0,0.0,0.0,-35.37,-29.11,0.0,-0.0,51.74,-3.94,0.0,-64.48,47.79,-16.69
4601,0.0,0.0,-0.0,0.0,0.0,0.0,-38.48,-30.3,-0.0,0.0,49.33,-4.14,0.0,-68.78,45.19,-23.59
4626,0.0,0.0,0.0,0.0,0.0,0.0,-35.65,-18.25,-0.0,0.0,39.72,-3.92,0.0,-53.9,35.8,-18.1
4651,-0.0,-0.0,0.0,0.0,0.0,0.0,-34.92,-26.8,-0.0,0.0,44.99,-3.85,0.0,-61.72,41.14,-20.59
4676,-0.0,-0.0,-0.0,0.0,0.0,0.0,-39.8,-14.5,0.0,0.0,43.49,-4.12,0.0,-54.3,39.36,-14.94
4701,-0.0,0.0,-0.0,0.0,0.0,0.0,-33.32,-24.09,0.0,0.0,40.29,-4.11,0.0,-57.41,36.18,-21.23
4726,0.0,-0.0,0.0,0.0,0.0,0.0,-32.56,-26.07,-0.0,-0.0,44.53,-3.76,0.0,-58.63,40.77,-17.86
4751,-0.0,0.0,0.0,0.0,0.0,0.0,-31.72,-20.65,-0.0,0.0,39.68,-4.04,0.0,-52.37,35.64,-16.74
4776,-0.0,0.0,-0.0,0.0,0.0,0.0,-36.85,-24.75,-0.0,-0.0,46.56,-4.26,0.0,-61.59,42.3,-19.29
4801,-0.0,-0.0,0.0,0.0,0.0,0.0,-31.49,-28.89,-0.0,-0.0,42.9,-3.86,0.0,-60.39,39.04,-21.35
4826,-0.0,0.0,0.0,0.0,0.0,0.0,-31.7,-31.88,-0.0,0.0,46.34,-3.97,0.0,-63.58,42.37,-21.21
4851,0.0,0.0,0.0,0.0,0.0,0.0,-37.89,-12.02,0.0,-0.0,36.04,-4.3,0.0,-49.91,31.74,-18.17
4876,-0.0,0.0,0.0,0.0,0.0,0.0,-35.72,-28.56,0.0,0.0,50.5,-3.99,0.0,-64.28,46.51,-17.76
4901,-0.0,0.0,-0.0,0.0,0.0,0.0,-34.03,-22.27,-0.0,0.0,45.52,-3.75,0.0,-56.3,41.77,-14.53
4926,0.0,-0.0,0.0,0.0,0.0,0.0,-27.58,-32.57,-0.0,-0.0,48.54,-3.4,0.0,-60.15,45.14,-15.0
4951,0.0,-0.0,-0.0,0.0,0.0,0.0,-35.34,-26.29,-0.0,-0.0,49.74,-3.7,0.0,-61.63,46.05,-15.58
4976,0.0,-0.0,0.0,0.0,0.0,0.0,-34.16,-27.9,-0.0,0.0,51.08,-3.71,0.0,-62.06,47.37,-14.69
5001,-0.0,0.0,0.0,0.0,0.0,0.0,-36.93,-28.73,0.0,-0.0,49.42,-3.94,0.0,-65.65,45.48,-20.17


