SMILES,aff_p0,aff_site,d_key,d_p0,bridge
CCCCCC(O)C=CC1C(O)CC(O)C1CCCCCCC(=O)O,-5.764,-4.953,3.5943596091654486,3.055630540494056,0.805883805130465
CCCN(CCN(C)C)c1nc(C)nc(NN)c1CC,-5.814,-3.843,12.517942562577925,2.9156457260785302,0.00624561271184842
O=C(c1ccc2c(c1)CCCC2)N1CCCN(S(=O)(=O)c2ccc(NCc3ccccc3)c([N+](=O)[O-])c2)CC1,-5.349,-4.394,6.446289863169356,2.900888829307321,0.26659269446883394
OCCCSc1ccc2c(c1)CNCC2,-6.049,-4.997,12.240113316468928,2.806218273762752,0.007488180302364165
CCC(C)(CSC)NCCCO,-4.338,-3.627,11.870799046399531,2.9061939026844024,0.009365465078566627
Cc1ccccc1NC(=O)c1cc(F)ccc1Nc1ncnc2c1ncn2C,-7.565,-5.853,6.650287888505278,7.307884303955557,0.04300257454053434
CCCCOC(=O)C(CCCC)NP(CCC(=O)OCc1ccccc1)Oc1ccccc1,-4.944,-4.463,3.9588029756480676,5.95522585633828,0.30416371180357044
Cc1[nH]cnc1CN1CCC(c2nc3ccccc3n2C2CC2)CC1,-7.64,-5.443,7.847198927005738,6.643754586075557,0.031037022757782567
Cc1ccc(-c2nc3c(-c4cc5ccccc5oc4=O)onc3n2C)cc1C,-9.122,-7.216,4.481865013585304,3.3367867777249427,0.6402355954125518
CC(Cc1ccccc1)N1CCCC(=O)NC1=O,-5.265,-3.864,5.458680243428808,3.7967663873354125,0.40468917886572553
O=C(c1ccccc1)N1CCN2c3ccccc3OCC2C(=Cc2ccccc2)C1,-6.617,-4.611,3.869569226671103,5.537267286306487,0.38420664208652894
CCOC(=O)c1c(CNC(C)COCc2ccccc2)oc2ccccc12,-5.587,-5.076,4.5226807316015565,5.493512264480712,0.3323631369750295
O=C1NC2(CCCCC2c2cccnc2)C(=O)N1c1ccc(F)cc1,-8.02,-5.717,6.82808325959782,8.171754523968522,0.022789163219282184
COCCN1C(=S)NC(=O)C1C(NC(=S)NC(C)C)c1cc(C)n(-c2cccc(Br)c2)c1C,-6.015,-4.741,5.953839853405531,3.7233866304750043,0.31837515970222624
CC1COCCN1S(=O)(=O)NCCCCCBr,-5.633,-3.972,12.784025578822972,3.2635420941057287,0.005122265530053348
CCCCOC(=O)N1CCN(C(=O)C(CCC(=O)O)N(C)C(=O)OCC2c3ccccc3-c3ccccc32)CC1,-6.508,-5.616,4.6048308329405545,3.0572291376342724,0.6334025200648591
OC1(CNCCc2ccc(Br)s2)CCOCC1,-5.771,-4.929,7.073813540092785,2.995421339311049,0.18282374064026088
O=C(Nc1ccc(OC(F)(F)F)c(Cl)c1)C1CCCN1S(=O)(=O)c1ccc(Cl)cc1,-7.714,-5.675,8.708385958373686,12.100649610661403,0.0006215623649618492
COc1cc(CNCCC(C)(C)O)cc(-c2ccc(S(=O)(=O)NC(C(=O)c3nccs3)C(C)C)cc2)c1,-7.331,-5.716,4.518401597910482,5.424148781145296,0.344084477172834
COCCN(Cc1cccs1)Cc1cc(Cl)ccc1F,-5.743,-4.586,12.516896540277067,3.103976320785969,0.00615147526875438
CNCC(Cc1cc2ccc(C)cc2[nH]c1=O)CN(C)C,-6.519,-5.013,5.006796480784894,5.807862085139419,0.23785303652427772
CCCCC(C)=NC,-4.196,-3.28,11.770198171653696,8.850542864706096,0.0006994693011574574
Cc1cc(-c2cc(C(N)=O)n(C3CS(=O)(=O)CC3O)n2)cc(C)c1F,-7.799,-5.654,4.63949878758471,4.5291594142842895,0.4733908655006818
CC(O)c1cnc(N2CCC(C(C)O)CC2)s1,-5.355,-4.55,4.341926415774454,2.877166835621459,0.6967031059630878
CC(C)(C)OC(=O)NCCCCC(N)(C(=O)O)C(=O)O,-5.622,-4.858,4.706157030954237,2.973855073805717,0.6161085931301601
CCOc1ccc(-n2[nH]c(NC(=O)OC)nc2=O)cc1,-6.331,-4.777,6.154306947171224,3.0664807190002032,0.3101981047327252
CCn1c(=O)n(Cc2ccc(Cl)cc2)c2cccc(N)c21,-6.972,-4.688,10.68190774159747,9.168761094062818,0.0011324787500952985
COc1ccc(C(CNC(=O)c2ccc(Cl)c(Br)c2)N2CCCC2)cc1OC,-7.328,-5.388,4.594075097340051,5.519185718926298,0.3207331495768945
CC(C)CC(N)C(=O)NC(CC(N)=O)C(Cc1cnc[nH]1)NC(=O)C(C)N,-6.715,-5.533,12.08150628026158,2.749310640869816,0.008299127433573493
CC1=C(C2c3cccc(c3)-c3ccccc32)C(C)N(c2ccc(F)cc2)C(=O)C2C(=N1)C(=O)NC2CC(=O)NC1CCCCC1,,,,,0.0
ClC1CC2C1C1C(Br)C2C2(Cl)C(Cl)C(Cl)C12Cl,-5.852,-4.686,12.951754977608248,3.2318763899629577,0.004628304172673883
Cc1cn(C)c(C=CC(=O)O)c1C,-4.841,-4.471,12.650638916671362,2.7031265231209587,0.0058316339277244555
NC1CC(COCc2ccccc2)C(=O)N(Cc2ccccc2)C1,-7.23,-4.998,4.383543087503533,10.765393676034334,0.014587744114641974
CCCCCCC=CCCCC(=O)NC(COC1OC(CO)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1O)C(O)CCCCCCCCCCCCCCCCCCCCCCCCCCCC,,,,,0.0
COCc1ccc(C2SC(=NN=Cc3cc([N+](=O)[O-])cc(OC)c3OC)NC2=O)o1,-6.907,-5.304,7.603816081415962,3.074632498364642,0.13161109912516208
CN=C(N)N(CC1CC1)C1CCCc2ccccc21,-6.177,-4.223,11.981651513877376,8.929613205508959,0.0005834515733999854
CN(CC(=O)Nc1ccccc1N1CCCC1)Cc1ccc(C#N)cc1,-6.921,-4.921,7.280635480505805,7.133949537247934,0.032791221368812164
O=C1CC(C(=O)N2CCN(c3ccccc3)CC2)CN1Cc1cccc2ccccc12,-8.627,-6.324,3.9329628780348287,5.090385054197766,0.4655667033213616
O=C(c1n[nH]c(=O)c2ccccc12)N1CCN(c2cccc(Cl)c2)CC1,-7.986,-6.054,4.89764770068244,4.175442731016676,0.47640336031316016
CN(c1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1)S(C)(=O)=O,-6.456,-5.646,4.55601152325145,3.1683442047858383,0.6369563090964411
CCCN(Cc1ccncc1)CC1CN(C(=O)OC)c2ccccc2O1,-6.547,-4.974,4.461149963854612,5.223026708719764,0.38423424280343343
CCCC(CC(=O)O)Nc1cccc(CC#N)c1,-6.817,-5.076,12.173569115095212,3.0319605868150727,0.007672944617517142
N#CC1Cc2ccccc2CN1Cc1ccccc1,-7.522,18.02,13.168463843592386,3.2115613025442933,0.0040506900555297215
CN(C)c1ccc(C=C2SC(=S)NC2=O)cc1,-5.595,-4.148,7.326621322274,7.982108493374417,0.01899182269042913
Clc1cccnc1N1CCN(c2ccccc2)CC1,-6.319,-4.909,4.971836883889091,5.71696221782163,0.2528783892452073
CC=CC=C(COCCCCN1CCC2SC(Nc3ccc(OC)c(Cl)c3)=NC2C1)NC=CC,-7.416,-4.974,4.166778731826302,3.4176187616526224,0.6920091447705037
Cc1cccc(NC(=O)C(Nc2ccccc2N)C(C)C)c1C,-6.888,-5.176,7.501299954007972,7.5379059426342,0.022433530393904205
CN1CCN(CC2(C)CCN(C)C2)CC1,-4.81,-4.3,12.695131153320158,3.0802714166125034,0.0055150176706908515
Cc1ccc(-c2nc(C(=O)Nc3cccc(NC(N)=O)c3)c(C)o2)cc1,-8.027,-6.37,4.481679372735181,3.114252398249056,0.6555228851369714
CC(C)Cc1ccc2nc(Nc3ccc(N)cc3OC(C)C)ncc2c1,-6.854,-5.459,4.699585513638409,4.4486954267515335,0.4753889317484444
COCc1cc(I)c(O)c(C=Cc2ccccn2)c1,-6.226,-4.92,7.370657026344394,8.166771271438916,0.016496431201156615
O=S(=O)(Nc1ccc(CCNC2CC2)cc1)c1ccc(F)cc1Cl,-7.191,-5.567,12.228062561174605,3.0402488384999025,0.007410723853194009
S=C(Nc1ccccc1Cl)NC1CC2C=CC1C2,-6.948,-4.837,8.635195539187286,9.03904607798854,0.004400872206889666
COc1ccc(S(=O)(=O)N2CCN(Cc3cn4cc(Cl)ccc4n3)CC2)cc1,-7.231,-5.662,4.202425728076583,3.5214880377476785,0.6762675325736968
CC(O)c1ccnc(C2CCC2)n1,-5.979,-4.885,12.697521214788342,3.171950346395732,0.005458951285924936
CCNC(=NCc1cnns1)N(C)CC1CCOCC1,-5.907,-4.068,5.278559367857863,2.8184877150699115,0.4943425636106044
Cc1c(C=CC(=O)Nc2ccccc2N2CCCN(Cc3nc(C(=O)N4CCCCC4)cs3)CC2)cnn1-c1ccccc1,,,,,0.0
O=CCC(CC(=O)ON1C(=O)CCC1=O)(C(=O)O)C(=O)CCc1ccccc1,-6.863,-5.218,4.951531177322828,3.4635774857796955,0.533491357140631
CC(C)C1C(=O)C(C)(c2cccnc2)C(=O)N1CC1CCCO1,-5.973,-4.98,11.901176958603717,2.9684386468310233,0.009145048389263681
O=C(NCCCN1C(=O)C(=Cc2ccccc2Br)SC1=S)OCc1ccccc1,-7.087,-5.271,5.419713830083651,6.309785733287621,0.15061266538170612
COc1cc(C=NNC(=O)C(c2ccccc2)c2ccccc2)cc(O)c1O,-7.292,-6.099,4.836554455394873,2.851808198319095,0.5929204207263039
CNC(CCN(CCC(C)C)C1CC1)c1ccccc1,-6.0,-4.182,7.259326139525623,7.76973365051853,0.022547634832595028
CC(=Cc1ccco1)C(=O)N(C(OC(=O)C(C)(CCl)CON1C(=O)CC(C)C1=O)C(Cl)(Cl)Cl)S(=O)(=O)c1ccc(C)cc1,-6.454,,,,0.0
CCC1(O)C=CC(c2csc(-c3ccc(-c4cccs4)cc3)n2)=CC1,-7.159,-6.316,5.105406056328918,3.1894711160316223,0.5170951232365781
CCCn1c(CNC(C)(C)C)nc2ccc(C(=O)O)cc21,-6.619,-5.24,4.539560441276226,2.807286768393995,0.6596881458960457
COc1ccc(Cn2ccnc2CN(CCO)C(C)C)cn1,-6.026,-4.459,12.389972114577175,2.9139270752714457,0.0067665210187356625
C=CCN(CC=C)Cc1onc(C)c1NC(=O)OC(C)(C)C,-6.175,-4.464,8.202496997865953,3.084385514166477,0.09093569383065113
O=C(c1cccnc1N1CCCCC1)N1CCC2(CCNC2)C1,-6.626,-4.942,7.322281201920616,3.1191776159750817,0.15562546431783225
NN=C(N)c1c(-c2ccc(F)cc2)c(-c2cnc3ccnn3c2)c(N)[nH]c1=O,-6.702,-5.114,7.380140987813173,7.296297691295223,0.02798200746130419
c1cc(CN2CCOCC2)no1,-5.029,-4.148,12.1971885695024,2.9782420989570335,0.007594533502958609
COCCCN(CC=NN(N)c1ccccn1)C(=O)c1cccs1,-6.163,-4.797,5.433024387944526,3.067757813126714,0.45116848818749405
COCCNCc1c(C)nn(-c2ccccc2C)c1C,-5.764,-4.864,12.645344004810624,3.4153443457431933,0.0054862212274602576
CN(c1ccccc1-c1ccc2c(c1)CCc1nnc(-c3ccoc3)n1N2)S(C)(=O)=O,-5.641,-4.991,5.948598742561142,3.0382402801621877,0.347953575298041
CC(C)(C)C(N)C(=O)N1CCCC1c1ccccc1F,-5.846,-5.208,12.31990945583611,3.072429169240521,0.0069774626174314135
C=CCC(NC(=O)N1CCCCC1)C(=O)c1cccc(N)c1,-6.362,-5.317,12.171210868274365,3.132960740258327,0.007614073316991796
